ID,Category,Design Element,Description,Human Quality Signal
1,Typography,Hand-drawn letterforms,Letters with visible pen stroke variation and natural wobble,Imperfect stroke width
2,Typography,Irregular baseline,Letters sitting slightly above or below the baseline in a natural rhythm,Organic rhythm
3,Typography,Variable letter spacing,Intentionally uneven kerning that mimics human typesetting,Breathing room variation
4,Typography,Ink bleed effect,Letters that appear to have slight ink spreading into paper texture,Physical process trace
5,Typography,Rough brush strokes,Typefaces with visible brush bristle marks and texture,Tool mark evidence
6,Typography,Handwritten annotations,Margin notes and arrows that look scribbled by hand,Casual human gesture
7,Typography,Letterpress impression,Type that appears pressed into the surface with subtle shadow,Physical depth trace
8,Typography,Skewed characters,Individual letters slightly rotated as if drawn by hand,Natural hand tremor
9,Typography,Overlapping letters,Letters that slightly overlap each other like real handwriting,Human spacing error
10,Typography,Varying x-height,Inconsistent lowercase letter heights across a word,Organic inconsistency
11,Typography,Hand-drawn underlines,Wavy or slightly crooked underline beneath text,Imperfect gesture
12,Typography,Smudged text effect,Letters with slight smudging as if touched while wet,Physical interaction
13,Typography,Erased text remnants,Faint ghost letters showing previous attempts,Process evidence
14,Typography,Stitched typography,Letters that appear sewn with visible thread paths,Manual craft
15,Typography,Woodcut letterforms,Letters with carved wood grain texture and chisel marks,Traditional craft
16,Typography,Charcoal sketch type,Letters with granular charcoal texture and soft edges,Drawing medium trace
17,Typography,Watercolor wash letters,Letters with translucent watercolor bleeding effects,Paint behavior
18,Typography,Neon tube flicker,Hand-bent neon tube letters with slight glow variation,Physical material
19,Typography,Chalkboard writing,Letters with chalk dust particles and board texture,Classroom nostalgia
20,Typography,Typewriter unevenness,Letters with varying darkness and alignment like old typewriters,Mechanical imperfection
21,Texture,Paper grain overlay,Visible paper fiber texture across the entire design,Material authenticity
22,Texture,Film grain noise,Analog film grain that adds organic noise to surfaces,Photographic heritage
23,Texture,Canvas weave pattern,Visible woven canvas texture behind elements,Painter's surface
24,Texture,Concrete roughness,Raw concrete texture with visible aggregate,Brutalist material
25,Texture,Wood grain pattern,Natural wood rings and grain visible in backgrounds,Organic material
26,Texture,Fabric stitch lines,Visible sewing stitches along edges of elements,Handmade clothing
27,Texture,Watercolor paper texture,Rough cold-press paper texture visible through washes,Art supply authenticity
28,Texture,Leather grain,Natural leather pores and wrinkles in UI surfaces,Luxury craft
29,Texture,Stone surface,Granite or marble veining in backgrounds,Natural geology
30,Texture,Metal oxidation,Subtle patina and tarnish on metallic elements,Aging process
31,Texture,Pencil sketch lines,Graphite lines with visible pencil grain and pressure variation,Drawing tool trace
32,Texture,Crayon wax buildup,Waxy texture with visible layering and pressure marks,Childhood craft
33,Texture,Pastel chalk dust,Soft chalk particles visible on dark backgrounds,Art studio feel
34,Texture,Spray paint splatter,Aerosol paint droplets and overspray patterns,Street art energy
35,Texture,Screen print halftone,Visible dot patterns from screen printing process,Print shop craft
36,Texture,Linocut marks,Carved linoleum block printing marks with relief edges,Relief printing
37,Texture,Etching lines,Fine acid-etched lines on metal-appearing surfaces,Traditional printmaking
38,Texture,Risograph ink bleed,Layered riso printing with slight misregistration,DIY publishing
39,Texture,Photocopy degradation,Xeroxed appearance with generation loss and toner scatter,Office nostalgia
40,Texture,Newsprint dot pattern,Visible CMYK or newsprint dot patterns on backgrounds,Mass media craft
41,Color,Hand-mixed color variation,Slight color shifts as if mixed by hand each time,Paint mixing
42,Color,Watercolor bleeding,Colors that bleed into each other with soft edges,Water behavior
43,Color,Imperfect gradient,Gradients with slight banding or irregular transitions,Non-digital feel
44,Color,Earth tone palette,Natural colors sourced from soil plants and minerals,Organic origin
45,Color,Faded vintage colors,Colors that appear sun-bleached or time-worn,Aging narrative
46,Color,Analog film color cast,Warm or cool color shifts characteristic of film stocks,Photographic chemistry
47,Color,Hand-dyed fabric colors,Slightly uneven dye absorption visible in color fields,Textile craft
48,Color,Pigment granulation,Visible pigment particles settling in washes,Physical paint behavior
49,Color,Overprinted colors,Colors that appear layered with slight offset,Print process
50,Color,Pigment separation,CMYK plates slightly misaligned creating color fringing,Print imperfection
51,Color,Ink density variation,Areas of heavier and lighter ink application,Manual printing
52,Color,Color bleeding at edges,Colors that spread slightly beyond their intended boundaries,Physical medium
53,Color,Hand-painted color fields,Visible brush stroke direction in solid color areas,Painterly gesture
54,Color,Weathered paint colors,Colors that appear chipped or weathered from exposure,Environmental aging
55,Color,Natural dye palette,Colors derived from plant-based dyes with organic variation,Botanical origin
56,Color,Monochrome with warmth,Black and white with subtle warm undertone,Hand-tinted photo
57,Color,Cross-processed colors,Unusual color shifts from film processing errors,Analog accident
58,Color,Bleach bypass tones,High contrast desaturated colors with silver retention,Darkroom technique
59,Color,Solarized color inversion,Partial color reversal creating surreal tones,Chemical reaction
60,Color,Hand-colored photograph,Selective color applied to black and white base,Manual colorization
61,Layout,Asymmetric grid,Broken grid layout with intentional imbalance,Human composition
62,Layout,Organic whitespace,Variable spacing that breathes naturally rather than following rigid multiples,Organic rhythm
63,Layout,Off-center focal point,Main content deliberately shifted from center,Human composition choice
64,Layout,Overlapping content layers,Elements that overlap with intentional depth,Physical layering
65,Layout,Diagonal flow,Content arranged along diagonal axis rather than horizontal,Dynamic composition
66,Layout,Staggered columns,Columns that start and end at different heights,Rhythmic variation
67,Layout,Magazine spread feel,Layout that mimics editorial print design,Print heritage
68,Layout,Hand-arranged elements,Elements positioned as if placed by hand rather than snapped to grid,Casual placement
69,Layout,Negative space as content,Empty areas that carry meaning and weight,Intentional restraint
70,Layout,Broken symmetry,Mirrored elements with deliberate differences,Human variation
71,Layout,Fluid boundaries,Content areas that flow into each other without hard edges,Natural transition
72,Layout,Layered depth,Elements at multiple perceived depths creating spatial hierarchy,Physical stacking
73,Layout,Rag alignment variation,Text blocks with intentionally irregular right edges,Natural text flow
74,Layout,Content bleeding to edge,Elements that extend beyond the viewport edge,Print bleed reference
75,Layout,Golden ratio spacing,Proportions based on natural mathematical ratios,Organic mathematics
76,Layout,Rule of thirds placement,Key elements placed at intersection points,Photographic composition
77,Layout,Scattered arrangement,Elements distributed as if scattered on a surface,Casual organization
78,Layout,Clustered groupings,Related elements grouped with varying proximity,Natural association
79,Layout,Visual weight balancing,Heavy and light elements balanced by eye not by measurement,Intuitive design
80,Layout,Modular with variation,Grid modules with intentional size differences,Human grid adaptation
81,Micro-interaction,Delayed response,Intentional slight delay before interaction feedback,Human reaction time
82,Micro-interaction,Breathing animation,Elements that subtly pulse like breathing,Living presence
83,Micro-interaction,Hesitant hover,Element that slightly pulls back before responding,Cautious personality
84,Micro-interaction,Playful bounce,Elements that bounce with varying heights,Childlike energy
85,Micro-interaction,Warm acknowledgment,Subtle color shift that feels like a nod,Human recognition
86,Micro-interaction,Gentle nudge,Element that moves slightly to invite interaction,Human invitation
87,Micro-interaction,Organic ripple,Ripple effect that spreads irregularly like water,Natural physics
88,Micro-interaction,Hand-drawn cursor trail,Cursor leaves a faint hand-drawn mark trail,Personal trace
89,Micro-interaction,Variable speed response,Animation speed varies based on interaction intensity,Human sensitivity
90,Micro-interaction,Emotional feedback,Interaction response that conveys mood,Personality expression
91,Micro-interaction,Imperfect snap,Element that almost snaps but settles slightly off,Human imprecision
92,Micro-interaction,Gradual awareness,Element that slowly notices cursor approach,Conscious presence
93,Micro-interaction,Tactile resistance,Interaction that feels like pushing against resistance,Physical effort
94,Micro-interaction,Weighty response,Heavy elements move slower than light ones,Physical mass
95,Micro-interaction,Friction-based motion,Elements that slow down as if on rough surface,Material texture
96,Micro-interaction,Elastic memory,Element that stretches and returns to shape,Rubber material
97,Micro-interaction,Fluid displacement,Elements that push others aside like water,Fluid dynamics
98,Micro-interaction,Magnetic attraction,Elements that pull toward cursor at close range,Physical force
99,Micro-interaction,Gravity response,Elements that fall with realistic acceleration,Natural physics
100,Micro-interaction,Momentum carry,Elements that continue moving after interaction,Physical inertia
101,Illustration,Sketch-style outlines,Drawings with visible pencil or pen stroke marks,Hand-drawn quality
102,Illustration,Watercolor illustrations,Paintings with visible watercolor wash and bleed,Paint medium
103,Illustration,Ink wash drawings,Monochrome illustrations with ink density variation,Traditional technique
104,Illustration,Colored pencil texture,Illustrations showing colored pencil layering and grain,Drawing medium
105,Illustration,Gouache opacity,Illustrations with opaque matte paint quality,Paint characteristic
106,Illustration,Marker pen strokes,Illustrations with visible marker tip marks and overlap,Writing tool
107,Illustration,Pastel softness,Illustrations with soft chalky edges and blending,Art medium
108,Illustration,Charcoal shading,Illustrations with granular charcoal shading and smudging,Drawing technique
109,Illustration,Printmaking style,Illustrations mimicking woodcut or linocut print,Relief printing
110,Illustration,Embroidery pattern,Illustrations that look stitched with visible thread paths,Textile craft
111,Illustration,Collage composition,Illustrations assembled from cut paper fragments,Paper craft
112,Illustration,Blueprint aesthetic,Technical drawings with blueprint blue tone and grid lines,Engineering heritage
113,Illustration,Field notebook sketch,Illustrations that look drawn in a field journal,Observational drawing
114,Illustration,Scientific illustration,Botanical or anatomical drawings with precision marks,Scientific tradition
115,Illustration,Children's book style,Illustrations with warm naive quality of picture books,Storytelling heritage
116,Illustration,Comic book halftone,Illustrations with visible comic dot patterns,Print culture
117,Illustration,Stained glass effect,Illustrations with lead-line borders and translucent color,Architectural craft
118,Illustration,Mosaic tile pattern,Illustrations composed of small colored tiles,Ancient craft
119,Illustration,Shadow puppet silhouette,Illustrations with flat silhouette and dramatic shadow,Theatrical tradition
120,Illustration,Folk art motifs,Illustrations using traditional folk art patterns and symbols,Cultural heritage
121,UI Component,Hand-drawn card borders,Cards with irregular hand-drawn border lines,Sketch quality
122,UI Component,Stamped seal badge,Badge that looks like an ink stamp with slight imperfection,Official document
123,UI Component,Torn paper edge,Elements with torn paper edge effect,Physical tearing
124,UI Component,Post-it note style,Elements that look like sticky notes with slight curl,Office material
125,UI Component,Tape attachment,Elements that appear taped to the surface with visible tape,Physical attachment
126,UI Component,Pin or tack mount,Elements that appear pinned with visible pin head,Notice board
127,UI Component,Folded corner,Element with a dog-eared or folded corner,Physical paper
128,UI Component,Hand-stamped texture,Elements with rubber stamp texture and ink variation,Manual stamping
129,UI Component,Wax seal element,Element with wax seal appearance and drip marks,Historical document
130,UI Component,Cardboard texture,Elements with corrugated cardboard texture,Packaging material
131,UI Component,Envelope flap style,Element designed like an envelope opening,Mail craft
132,UI Component,Book spine reference,Element that mimics a book spine with title,Bookbinding
133,UI Component,File folder tab,Tab element designed like a physical file folder,Office organization
134,UI Component,Index card layout,Content presented on index-card-sized elements,Research tool
135,UI Component,Notebook page background,Element with ruled notebook paper lines,School material
136,UI Component,Newspaper clipping style,Element styled like a cut newspaper article,Press archive
137,UI Component,Polaroid frame,Image element with white Polaroid-style border and caption,Photography craft
138,UI Component,Label maker text,Text that looks like embossed label maker tape,Vintage office
139,UI Component,Ticket stub element,Element designed like a torn ticket stub,Event memorabilia
140,UI Component,Playing card proportion,Element with playing card aspect ratio and corner marks,Game craft
141,Navigation,Hand-drawn menu items,Navigation items with hand-lettered labels,Personal touch
142,Navigation,Bookmark-style nav,Navigation that looks like physical bookmarks,Reading culture
143,Navigation,Compass rose navigation,Navigation arranged like a compass with cardinal directions,Exploration metaphor
144,Navigation,Map pin markers,Navigation items as map pins on a stylized map,Geographic metaphor
145,Navigation,Drawer pull handles,Navigation that looks like physical drawer pulls,Furniture metaphor
146,Navigation,Signpost navigation,Navigation items designed as directional signposts,Road signage
147,Navigation,Index tabs,Navigation as colored index tabs on page edge,Reference book
148,Navigation,Switch plate toggles,Navigation items as physical light switches,Architectural element
149,Navigation,Radio dial selection,Navigation that rotates like a radio dial,Vintage electronics
150,Navigation,Piano key navigation,Navigation items arranged like piano keys,Musical instrument
151,Navigation,Typewriter key nav,Navigation items as typewriter keys with mechanical feel,Writing tool
152,Navigation,Abacus bead selection,Navigation using abacus bead movement metaphor,Calculation tool
153,Navigation,Calendar tear-off,Navigation that tears off like a daily calendar,Time keeping
154,Navigation,Recipe card index,Navigation organized like recipe card dividers,Cooking culture
155,Navigation,Library card catalog,Navigation mimicking library card catalog system,Information organization
156,Navigation,Color swatch selection,Navigation items as physical color swatches,Design tool
157,Navigation,Fabric sample book,Navigation as fabric swatches in a sample book,Textile reference
158,Navigation,Paint chip palette,Navigation items as paint store color chips,Home improvement
159,Navigation,Tool rack organization,Navigation arranged like tools on a workshop rack,Craft workspace
160,Navigation,Spice jar labels,Navigation items designed like spice jar labels,Kitchen organization
161,Scroll Effect,Parallax with depth,Background layers moving at different speeds creating depth,Physical space
162,Scroll Effect,Reveal on scroll,Content that reveals itself as if unrolling a scroll,Physical unrolling
163,Scroll Effect,Sticky storytelling,Elements that stick and release at narrative beats,Storytelling pacing
164,Scroll Effect,Horizontal scroll section,Section that scrolls horizontally like a panorama,Painting scroll
165,Scroll Effect,Scroll-triggered drawing,Elements that draw themselves as user scrolls,Live illustration
166,Scroll Effect,Progressive disclosure,Content that appears gradually with scroll depth,Gradual revelation
167,Scroll Effect,Scroll velocity response,Animation speed responds to how fast user scrolls,Physical responsiveness
168,Scroll Effect,Morphing shapes on scroll,Shapes that transform organically as user scrolls,Biological metamorphosis
169,Scroll Effect,Layered paper effect,Content layers that separate like pages of a book as you scroll,Physical pages
170,Scroll Effect,Scroll-driven color shift,Background color that shifts with scroll position,Time of day metaphor
171,Scroll Effect,Text that assembles on scroll,Letters that fly into position as user scrolls,Typography animation
172,Scroll Effect,Image sequence on scroll,Frame-by-frame animation driven by scroll position,Flip book effect
173,Scroll Effect,Scroll-triggered particles,Particles that scatter or gather based on scroll,Natural phenomenon
174,Scroll Effect,Depth of field change,Focus shifts between foreground and background on scroll,Camera behavior
175,Scroll Effect,Scroll-responsive lighting,Lighting that changes angle and intensity with scroll,Time passing
176,Scroll Effect,Unfolding origami,Elements that unfold like origami as user scrolls,Paper craft
177,Scroll Effect,Scroll-driven growth,Elements that grow like plants as user scrolls,Biological growth
178,Scroll Effect,Parallax text layers,Text at different depths moving at different speeds,Typographic depth
179,Scroll Effect,Scroll-triggered sound,Subtle ambient sound that changes with scroll position,Auditory feedback
180,Scroll Effect,Momentum-based scroll,Scroll that continues with momentum after user stops,Physical inertia
181,Hover State,Hand-drawn underline on hover,Underline that appears as if drawn by hand on hover,Sketch gesture
182,Hover State,Ink spread effect,Element that appears to spread ink when hovered,Physical ink
183,Hover State,Paper lift effect,Element that lifts like paper being picked up,Physical interaction
184,Hover State,Highlighter mark,Hover creates a highlighter pen mark behind text,Study tool
185,Hover State,Magnifying glass effect,Hover area magnifies content like a lens,Optical tool
186,Hover State,Shadow deepening,Shadow that deepens as if element is lifted higher,Physical depth
187,Hover State,Color saturation increase,Colors become more vivid on hover like wet paint,Paint behavior
188,Hover State,Texture reveal,Hidden texture appears on hover like rubbing a surface,Discovery moment
189,Hover State,Handwritten note reveal,Hover reveals a handwritten annotation,Personal message
190,Hover State,Stamp impression,Hover creates a stamp-like impression on the element,Official mark
191,Hover State,Fold reveal,Element appears to unfold on hover revealing content,Paper craft
192,Hover State,Light sweep,Light sweeps across element on hover like a flashlight,Exploration tool
193,Hover State,Brush stroke reveal,Content revealed by animated brush stroke on hover,Painting gesture
194,Hover State,Eraser effect,Hover erases a covering layer to reveal content underneath,Erasing action
195,Hover State,Watercolor bloom,Color blooms outward on hover like watercolor on wet paper,Paint behavior
196,Hover State,Pencil sharpening,Element appears to sharpen on hover like a pencil,Tool preparation
197,Hover State,Page curl reveal,Corner curls up on hover revealing content underneath,Book interaction
198,Hover State,Thermal paper reveal,Content appears like thermal paper printing,Receipt printer
199,Hover State,Scratch-off reveal,Scratch-off lottery ticket effect on hover,Game interaction
200,Hover State,Fingerprint smudge,Hover leaves a subtle fingerprint smudge,Physical touch
201,Loading State,Hand-drawn spinner,Loading spinner that looks hand-drawn with wobble,Sketch animation
202,Loading State,Progressive sketch,Loading indicator that sketches itself progressively,Drawing in progress
203,Loading State,Watercolor fill,Loading bar that fills with watercolor wash effect,Paint filling
204,Loading State,Ink drop loading,Drops of ink that accumulate to show progress,Ink accumulation
205,Loading State,Pencil writing progress,Loading shown as pencil writing text progressively,Writing process
206,Loading State,Page turning,Loading animation of pages turning,Book reading
207,Loading State,Paint drying,Loading indicator that shows paint gradually drying,Physical process
208,Loading State,Coffee cup filling,Loading shown as a coffee cup being filled,Coffee ritual
209,Loading State,Plant growing,Loading animation of a plant growing from seed,Biological growth
210,Loading State,Sunrise progression,Loading shown as sun rising across horizon,Natural cycle
211,Loading State,Hand writing message,Loading shown as a hand writing a message,Personal communication
212,Loading State,Envelope sealing,Loading animation of an envelope being sealed,Mail preparation
213,Loading State,Stamp collecting,Loading shown as stamps being collected,Collecting hobby
214,Loading State,Book binding,Loading animation of a book being bound,Bookmaking craft
215,Loading State,Pottery wheel,Loading shown as clay being shaped on a wheel,Pottery craft
216,Loading State,Weaving progress,Loading animation of threads being woven,Textile craft
217,Loading State,Wood carving,Loading shown as wood being carved with chisel,Woodworking
218,Loading State,Ink stamping,Loading animation of a stamp being pressed,Manual stamping
219,Loading State,Paper folding,Loading shown as paper being folded into shape,Origami craft
220,Loading State,Seed germination,Loading animation of a seed sprouting,Natural process
221,Form Design,Handwritten input labels,Form labels that look handwritten,Personal touch
222,Form Design,Sketch-style input borders,Input fields with hand-drawn border lines,Sketch quality
223,Form Design,Notebook paper inputs,Input fields on ruled notebook paper background,School material
224,Form Design,Fill-in-the-blank style,Form designed like a fill-in-the-blank worksheet,Educational format
225,Form Design,Postcard form,Form styled like a postcard with address fields,Mail format
226,Form Design,Application form aesthetic,Form that looks like a paper application,Official document
227,Form Design,Checklist style inputs,Form items presented as a physical checklist,Task organization
228,Form Design,Recipe card form,Form styled like a recipe card with ingredient fields,Cooking culture
229,Form Design,Diary entry style,Form that looks like a diary page with date,Personal journal
230,Form Design,Letter writing format,Form designed like a letter with greeting and sign-off,Correspondence
231,Form Design,Sketch annotation inputs,Form fields that look like margin annotations,Study notes
232,Form Design,Sticky note inputs,Each input field on a separate sticky note,Office material
233,Form Design,Form with hand-drawn arrows,Form fields connected by hand-drawn arrows,Diagram style
234,Form Design,Red pen correction style,Form that shows red pen marks and corrections,Teacher feedback
235,Form Design,Typed form aesthetic,Form that looks like a typed document with form fields,Vintage office
236,Form Design,Clipboard form,Form presented on a clipboard with clip at top,Field work
237,Form Design,Passport form style,Form designed like a passport application page,Government document
238,Form Design,Prescription pad style,Form styled like a doctor's prescription pad,Medical culture
239,Form Design,Blueprint form layout,Form on blueprint background with technical grid,Engineering document
240,Form Design,Hand-stamped validation,Form validation shown as hand-stamped marks,Official approval
241,Button,Hand-drawn button shape,Button with irregular hand-drawn outline,Sketch quality
242,Button,Ink stamp button,Button that looks like an ink stamp impression,Manual stamping
243,Button,Wooden block button,Button with wood grain texture and carved text,Woodworking
244,Button,Fabric patch button,Button that looks like a sewn fabric patch,Textile craft
245,Button,Enamel pin button,Button designed like an enamel lapel pin,Accessory craft
246,Button,Typewriter key button,Button styled like a typewriter key,Writing tool
247,Button,Stamp button,Button that looks like a rubber stamp,Office tool
248,Button,Chalkboard button,Button with chalk texture and chalk-written text,Classroom material
249,Button,Neon sign button,Button that looks like a hand-bent neon sign,Sign craft
250,Button,Letterpress button,Button with letterpress impression and ink texture,Print craft
251,Button,Wax seal button,Button designed like a wax seal,Historical document
252,Button,Playing card button,Button with playing card design,Game craft
253,Button,Coin button,Button that looks like a minted coin with relief text,Minting craft
254,Button,Tile button,Button designed like a ceramic tile with glaze,Ceramic craft
255,Button,Leather patch button,Button that looks like a tooled leather patch,Leather craft
256,Button,Metal plate button,Button with brushed metal texture and engraved text,Metalworking
257,Button,Glass tile button,Button that looks like frosted glass with etched text,Glass craft
258,Button,Stone carving button,Button designed like carved stone with chisel marks,Stone carving
259,Button,Pressed flower button,Button with pressed flower embedded in resin,Natural preservation
260,Button,Hand-painted button,Button with visible hand-painted texture and brush strokes,Painting craft
261,Card Design,Torn card edge,Card with torn paper edge effect,Physical tearing
262,Card Design,Hand-stamped card,Card with rubber stamp texture and ink variation,Manual stamping
263,Card Design,Postcard layout,Card designed like a postcard with image and message area,Mail culture
264,Card Design,Business card feel,Card with business card proportions and texture,Professional craft
265,Card Design,Photo album card,Card designed like a photo album page with corners,Nostalgic memory
266,Card Design,Trading card style,Card with trading card border and stats area,Collecting culture
267,Card Design,Library card design,Card styled like a library checkout card,Reading culture
268,Card Design,Recipe card layout,Card designed like a recipe card with ingredients and steps,Cooking culture
269,Card Design,Field note card,Card styled like a field researcher's note card,Scientific observation
270,Card Design,Playing card layout,Card with playing card corner indices and center content,Game design
271,Card Design,Tarot card style,Card with tarot card proportions and border ornament,Mystical tradition
272,Card Design,Museum label card,Card designed like a museum exhibit label,Cultural institution
273,Card Design,Herbarium sheet card,Card styled like a pressed plant specimen sheet,Botanical collection
274,Card Design,Passport stamp card,Card with passport stamp aesthetic,Travel culture
275,Card Design,Board game card,Card designed like a board game component,Game culture
276,Card Design,Vintage ticket card,Card styled like a vintage train or event ticket,Travel nostalgia
277,Card Design,Book plate card,Card designed like an ex libris book plate,Book collecting
278,Card Design,Seed packet card,Card styled like a vintage seed packet,Gardening culture
279,Card Design,Matchbook card,Card designed like a matchbook cover with flap,Nostalgic object
280,Card Design,Coaster card,Card with drink coaster texture and proportion,Social culture
281,Header,Hand-lettered logo,Header logo that appears hand-lettered,Personal branding
282,Header,Newspaper masthead,Header styled like a newspaper masthead,Print journalism
283,Header,Book title page,Header designed like a book title page,Literary tradition
284,Header,Sign painter header,Header with hand-painted sign lettering,Sign craft
285,Header,Letterhead style,Header designed like personal letterhead,Correspondence culture
286,Header,Shop sign header,Header that looks like a physical shop sign,Local commerce
287,Header,Magazine cover header,Header styled like a magazine cover masthead,Editorial design
288,Header,Theater marquee,Header designed like a theater marquee with lights,Entertainment culture
289,Header,Hotel key card header,Header styled like a vintage hotel key tag,Travel nostalgia
290,Header,Factory plate header,Header designed like a brass factory name plate,Industrial heritage
291,Header,Gravestone engraving,Header with carved stone engraving aesthetic,Memorial craft
292,Header,Ship bow header,Header styled like a ship's name on the bow,Maritime tradition
293,Header,Distillery label header,Header designed like a whiskey distillery label,Craft spirits
294,Header,Apothecary header,Header styled like an old apothecary sign,Medical heritage
295,Header,Blacksmith header,Header with forged metal aesthetic,Metalworking tradition
296,Header,Bakery chalkboard,Header designed like a bakery chalkboard menu,Food culture
297,Header,Library header,Header styled like a library entrance sign,Knowledge institution
298,Header,Post office header,Header designed like a post office sign,Civic institution
299,Header,Tavern sign header,Header styled like a traditional tavern sign,Public house culture
300,Header,Cinema header,Header designed like a vintage cinema marquee,Film culture
301,Footer,Colophon footer,Footer designed like a book colophon with production details,Print tradition
302,Footer,Printer's mark,Footer with printer's mark or colophon symbol,Print heritage
303,Footer,Handwritten signature,Footer with a handwritten signature element,Personal touch
304,Footer,Stamp collection footer,Footer designed like a stamp collection display,Collecting culture
305,Footer,Map legend footer,Footer styled like a map legend with symbols,Navigation culture
306,Footer,Recipe credits footer,Footer designed like recipe source credits,Cooking culture
